Date,PFGDAAU LX Equity,PFTEAAU LX Equity,MBIPEANV CI Equity,PFCSAAU LX Equity,BCPACCI PE Equity,PFARAAU LX Equity,PFBKAAU LX Equity,PFGOAAU LX Equity,MONLAEA CI Equity,WEDINBU KY Equity,BCPDINA PE Equity,PSGGFXU MV Equity,INTERFD PE Equity,PHITHAI KY Equity,ORBGBIN LX Equity,GOLPERB LX Equity,MGEPMUS LX Equity,HAVASPG SP Equity,GIMFX US Equity,HANGOLD GR Equity,FOORIFA LX Equity,UTRNDZU LX Equity,MQIFX US Equity,PWZERMA LX Equity,HRLAX US Equity,UNIGOUS MK Equity,AIBALMA AB Equity,FERTTRB LX Equity,IPFCX US Equity,CREDBAL PE Equity,PMAIX US Equity,BBBABER PL Equity,LODFUIA LX Equity,RAPAX US Equity,SGHIX US Equity,SCHRRTB AR Equity,SGVIEOP HK Equity,INVGMII GU Equity,CCASORI MK Equity,DUAOPIC JY Equity,CAMGTFU SP Equity,CCASLTF MK Equity,ACMTX US Equity,TEMGBLI LX Equity,FEBAX US Equity,FIVSTFO LE Equity,ELARAFI BH Equity,WMRIX US Equity,PHPABFI PM Equity,BBFTOP3 KY Equity,BNAAX US Equity,PDMAX US Equity,UABSRUB LX Equity,FFPBALA LX Equity,PIMISIA ID Equity,FSIUSBP IJ Equity,JPTEMAU LX Equity,CRLCBUU LX Equity,SGTAAIA LX Equity,FBPBX US Equity,PIMGLEI ID Equity,BCUSDLF KK Equity,PRDAX US Equity,PAMAICC LX Equity,FPFGTCO MA Equity,FSRRX US Equity,GMFDEBI LE Equity,FID2020 LX Equity,PREPABF PM Equity,CORGLTA ID Equity,FFGLUNI LE Equity,BBFNTOP KY Equity,BBTOPII KY Equity,PWDAKAR LX Equity,RALIX US Equity,FRIAX US Equity,SWISSPO LE Equity,INGTRIU LX Equity,PGPGIFA ID Equity,SBSMIXA AR Equity,CLUGGLA VI Equity,HBFBX US Equity,PPLUCNH ID Equity,MLRMBUA LX Equity,BLUESPH BM Equity,ALWPADF VI Equity,DODBX US Equity,PFGLAAU LX Equity,FBBAX US Equity,INVFLEX GU Equity,INEMAUA LX Equity,LGTAXNA ID Equity,CUMBRIA LE Equity,ACEIX US Equity,LBTITL2 LX Equity,MPCFABU LX Equity,ALPCRDA LX Equity,HSMSAAM LX Equity,BSSAA2U LX Equity,GPSLTAM AR Equity,ALCONGP AB Equity,PQIZX US Equity,PZRMX US Equity,DPQI3CU LX Equity,TRXAX US Equity,LBFPGB1 LX Equity,UBSFLBI LX Equity,SACTP1A LX Equity,CABALI3 HK Equity,COPEVDA AR Equity,GIMPLGM GU Equity,SACTP2A LX Equity,GBALFND VI Equity,STRTDOC AR Equity,FPFEMOT MA Equity,CETAX US Equity,ABAEX US Equity,TPDAX US Equity,CAIBX US Equity,FORTGOW KY Equity,LCAIAUA SP Equity,LZDRUIA ID Equity,BUTIBLI KY Equity,LSBICBU LX Equity,BELNIDU LX Equity,DURFXUS LE Equity,PICGDJD SW Equity,CORGMFA ID Equity,HAFAX US Equity,SCLAX US Equity,AGMAIA1 LX Equity,SAGBGAU ID Equity,CIPETPC LX Equity,PMARX US Equity,SISBAA1 LX Equity,UTISPEB MP Equity,PGPCBFA ID Equity,DPRSX US Equity,PIPONDU SW Equity,BZWBALI HK Equity,SLAUSID ID Equity,HDAVX US Equity,BUFBX US Equity,BERIX US Equity,AGGSTAC LX Equity,MBAIX US Equity,BBSALIU LX Equity,PRAFX US Equity,CORGFRZ KY Equity,BGAMAA2 LX Equity,AGSDYIT LX Equity,WDIIX US Equity,AMECX US Equity,SCHGTRA LX Equity,CONML33 AV Equity,US1ARUP LX Equity,AQRIX US Equity,SCEMAIA LX Equity,CABNX US Equity,TYGLCON SP Equity,FPACX US Equity,JGAMAUA ID Equity,BAUSDBA IJ Equity,WARINBU GU Equity,ALLMNBU BH Equity,MSUBPE1 ID Equity
2019-01-04,113.98,118.86,10.7633,112.54,130.137719,132.33,92.35,108.77,1344.8788,10.67,119.905486,12.4785,60.9549,189.51,13.72,114.2,13.0092,832.92,12.64,61.09,37.419,894.13,13.27,98.64,8.5,1.024,16.7785,979.6,23.45,50.378209,10.7,122.3294,109.53,8.35,10.61,1064.521,9.514,3.05,2.3395,155.84,268159.61,3.0103,7.96,21.2,11.19,10494.48,1315.08,13.46,0.9219,1174.08,6.12,10.75,113.18,28.9,9.28,1.0186,98.8,10.33,108.0156,17.72,9.83,10.46,10.57,108.99,11.31,7.91,105,22.68,0.9134,13.5363,447.66,1255.99,1255.99,98.37,9.53,2.14,87.37,18.98,1.194,1145.23,101.15,11.73,10.026,113.59,1044.05,1033.5,94.64,107.2,20.72,158.3,20.19,1134.46,1730.88,9.3,114.12,5.829,115.54,9.668,104.2,1474.082,1.4323,10.63,7.56,1067.22,10.94,111.05,139.63,111.69,14.58,2472.357,1.315259,131.21,765.43,1044.09,9.84,10.35,8.18,10.66,56.77,105.24,1.171,105.0228,27.27,99.9166,10341.9,105.5,108.96,15.3445,8.59,9.89,9.34,1.0528,13.94,10.77,160.6976,14.65,1.527,10.2,1233,36.96,11.13,12.09,13.99,12.66,88.01,28.07,10666.97,10.22,11.3838,12,142.1,9.77,20.81,103.6566,119.35,163.99,8.65,98.368,15.1,106.33,30.03,10.08,1.1745,1.0217,184.09,1099.1382
2019-01-11,113.98,118.86,11.0387,112.54,131.717336,132.33,92.35,108.77,1380.6057,10.84,120.888764,12.7456,61.4367,193.9,14.25,118.5,13.3736,832.92,12.81,60.99,38.111,878.45,13.47,98.64,8.62,1.0261,17.0773,979.6,23.97,50.664508,10.9,125.3804,109.53,8.55,10.8,1065.379,9.752,3.05,2.3446,155.84,278640.91,3.0171,8.19,21.38,11.36,10702.35,1315.08,13.79,0.9476,1175.57,6.15,10.86,114.02,29.65,9.41,1.0392,101.18,10.36,107.0889,18.04,9.92,10.46,10.78,110.52,11.79,8.03,105,22.83,0.9389,13.7014,462.09,1269.43,1269.43,98.37,9.7,2.19,87.75,19.2,1.196,1146.75,102.67,11.79,10.153,114.24,1044.05,1033.5,96.05,107.2,21.04,162.75,20.57,1150.49,1756.65,9.46,116.68,5.989,115.86,9.856,102.78,1495.373,1.4463,10.81,7.65,1065.2,11.07,111.69,139.97,111.76,14.95,2498.334,1.328431,131.68,765.43,1044.77,10.16,10.67,8.36,10.88,57.52,105.24,1.201,105.803,27.74,100.7999,10442.1,105.74,108.93,15.6149,8.7,9.92,9.46,1.0644,14.18,11.06,163.9503,14.58,1.571,10.75,1251.14,37.91,11.13,12.26,14.36,12.8,88.01,28.72,10755.13,10.53,11.3838,12.26,143.25,9.93,21.1,104.9946,118.97,165.51,8.77,100.8717,15.36,107.01,30.66,10.24,1.1924,1.0384,189.23,1106.5291
2019-01-18,113.98,118.86,11.0472,112.54,133.158426,132.33,92.35,108.77,1405.7832,10.95,121.712821,12.933,61.5328,193.87,14.21,123.51,13.7371,832.92,12.95,60.96,38.364,871.73,13.6,98.64,8.7,1.0198,17.1291,979.6,24.6,50.912107,10.96,125.5166,109.53,8.69,10.84,1066.721,9.671,3.05,2.3493,155.84,280318.33,3.0209,8.34,21.64,11.46,10784.09,1315.08,13.92,0.9527,1177.12,6.21,10.88,114.99,29.98,9.44,1.0441,102.45,10.39,106.6401,18.49,9.98,10.46,10.88,111.52,11.94,8.09,105,22.88,0.9439,13.8048,470.69,1272.99,1272.99,98.37,9.8,2.22,88.15,19.26,1.198,1146.7,105.83,11.86,10.234,114.01,1044.05,1033.5,98.09,107.8,21.26,164.13,20.84,1165.12,1776.11,9.7,116.86,5.974,116.24,9.903,103.22,1511.468,1.452,10.95,7.66,1059.77,11.08,111.87,140.22,111.75,15.14,2512.871,1.348156,131.67,772.9,1045.02,10.32,10.74,8.55,10.94,58.1,108.89,1.214,105.8811,27.99,101.0077,10511.5,106,108.51,15.8685,8.79,9.93,9.53,1.0801,14.33,11.31,164.8275,14.43,1.585,11,1263.3,38.46,11.21,12.43,14.58,12.85,88.01,29.25,10805.51,10.71,11.3838,12.34,144.3,10.04,21.35,105.4151,119.06,166.35,8.8,101.7325,15.51,107.86,31.41,10.4,1.1995,1.0573,190.39,1111.0627
2019-01-25,113.98,118.86,11.0392,112.54,133.434058,132.33,92.35,108.77,1418.3156,10.94,122.014612,13.0247,61.7391,199.79,14.2,123.93,13.8539,832.92,13.07,60.53,38.379,879.84,13.56,98.64,8.69,1.0338,17.212,979.6,24.44,51.033616,10.98,125.5442,109.53,8.72,10.89,1068.865,9.739,3.05,2.3518,155.84,279894.1,3.0269,8.35,21.72,11.51,10751.78,1315.08,14.03,0.9532,1178.21,6.21,10.97,115.17,30.29,9.47,1.0494,103.34,10.38,106.8403,18.5,10,10.46,10.9,112.48,12.04,8.11,105,22.96,0.9444,13.8607,479.44,1276.06,1276.06,98.37,9.85,2.22,87.62,19.33,1.202,1148.38,106.2,11.85,10.134,114.24,1044.05,1033.5,98.06,107.8,21.15,164.53,21.08,1167.11,1782.33,9.68,117.39,5.945,116.72,9.987,104.47,1510.878,1.4544,10.97,7.68,1082.38,11.07,112.24,140.37,111.85,15.29,2524.159,1.339238,131.83,772.9,1046.09,10.38,10.81,8.68,11,57.88,108.89,1.226,106.3573,28.16,101.3374,10544.1,106.11,108.86,15.944,8.79,9.94,9.57,1.0809,14.42,11.35,166.369,14.23,1.592,11.15,1267.5,38.83,11.2,12.44,14.45,12.89,88.01,29.3,10844.45,10.77,11.3838,12.46,143.87,10.04,21.31,105.744,119.21,166.9,8.86,102.8995,15.55,108.3,31.43,10.42,1.2066,1.0513,191.72,1113.1605
2019-02-01,115.16,120.39,11.331,114.44,137.856659,134.09,93.77,109.13,1460.8234,11.11,124.160334,13.189,62.7904,205.5,14.38,127.13,13.9334,863.01,13.23,62.29,39.185,880.01,13.79,102.69,8.84,1.0491,17.2269,984.96,24.75,51.514163,11.05,126.6325,110.07,8.84,11.05,1069.86,9.673,3.05,2.3547,156.99,285755.61,3.0342,8.49,21.85,11.64,10942.32,1388.59,14.27,0.9733,1179.47,6.24,11.11,115.55,30.52,9.65,1.066,104.85,10.38,107.768,18.65,10.05,10.48,11.04,113.44,12.31,8.17,105.37,23.08,0.9643,14.0492,484.59,1276.36,1276.36,103.27,9.96,2.24,89.23,19.51,1.212,1147.41,108.49,12.04,10.275,114.5,1050.89,1038.33,98.99,108.67,21.57,165.64,21.42,1174.74,1790.33,9.79,118.7,6.052,117.35,10.015,104.61,1536.023,1.4602,11.04,7.78,1099.23,11.19,112.67,140.64,112.05,15.45,2531.25,1.357067,132.02,781.91,1047.75,10.54,10.98,8.84,11.19,58.64,111.85,1.241,107.0652,28.29,102.0415,10591.4,106.32,109.34,16.3466,8.86,9.97,9.61,1.0996,14.61,11.59,167.8931,14.21,1.615,11.46,1274.98,39.28,11.22,12.57,14.73,12.96,92.5,29.69,10923.86,11.1,11.9843,12.62,145,10.16,21.54,106.1964,119.67,168.74,8.97,104.4476,15.77,108.92,31.96,10.5,1.221,1.0679,195.05,1116.1381
2019-02-08,115.16,120.39,11.3797,114.44,137.148789,134.09,93.77,109.13,1415.2209,10.96,123.92989,13.0021,62.6988,203.05,14.28,127.27,13.7984,863.01,13.13,61.64,38.959,889.88,13.71,102.69,8.74,1.045,17.2786,984.96,24.63,51.496944,10.99,128.6405,110.07,8.79,11.04,1069.682,9.673,3.05,2.3554,156.99,285295.54,3.0347,8.4,21.71,11.58,11011.74,1388.59,14.24,0.9734,1180.64,6.22,11.14,115.43,30.5,9.57,1.0573,104.15,10.39,107.5835,18.51,10.04,10.48,10.95,112.65,12.31,8.18,105.37,23.03,0.9644,14.0461,483.98,1279.72,1279.72,103.27,9.95,2.23,90.41,19.53,1.215,1148.56,107.81,12.02,10.246,114.48,1050.89,1038.33,98.54,108.67,21.37,169.46,21.22,1178.82,1781.84,9.79,118.54,6.049,117.4,10.023,105.2,1531.341,1.4596,10.95,7.78,1122.3,11.19,112.52,140.66,112.16,15.38,2540.794,1.361552,132.23,781.91,1049.13,10.54,10.85,8.76,11.14,58.7,111.85,1.24,107.0501,28.89,101.8006,10584.7,106.67,109.94,16.2807,8.89,9.98,9.65,1.0993,14.56,11.51,167.3532,14.12,1.612,11.62,1269.56,39.12,11.29,12.57,14.73,12.99,92.5,29.69,10908.14,11.02,11.9843,12.58,145.09,10.15,21.55,106.3656,119.7,168.83,9,103.317,15.74,108.37,31.78,10.49,1.2199,1.074,195.66,1117.9476
2019-02-15,115.16,120.39,11.3317,114.44,138.441069,134.09,93.77,109.13,1435.5367,11.14,124.569097,13.1724,62.932,203.23,14.34,131.22,13.9164,863.01,13.19,61.52,39.288,890.74,13.98,102.69,8.89,1.0499,17.3089,984.96,25.13,51.662218,11.07,127.3251,110.07,8.89,11.18,1069.954,10.187,3.05,2.3605,156.99,282100.19,3.0371,8.53,22.08,11.76,11000.71,1388.59,14.31,0.9767,1182.03,6.23,11.19,115.29,30.55,9.67,1.0308,103.8,10.37,105.7606,18.96,10.09,10.49,11.05,112.48,12.4,8.23,105.37,23.13,0.9677,14.1603,485.1,1283.74,1283.74,103.27,10.08,2.26,88.73,19.65,1.208,1148.07,110.34,12.14,10.45,114.43,1050.89,1038.33,100.55,109.07,21.75,168.94,21.3,1192.87,1809.85,9.99,119.24,6.046,117.6,10.029,105.37,1534.05,1.4671,11.14,7.81,1123.19,11.32,112.26,140.94,111.99,15.56,2551.651,1.385034,131.86,783.87,1049.59,10.51,11.07,8.77,11.23,59.35,111.79,1.24,107.4554,28.92,101.8698,10666.7,106.64,109.99,16.5117,8.93,10.01,9.64,1.1086,14.52,11.68,168.5202,14.18,1.637,11.62,1284.97,39.44,11.3,12.76,15.06,13.01,92.5,30.19,10965.77,11.23,11.9843,12.57,146.07,10.27,21.84,106.7188,119.76,169.69,9.1,102.9031,15.91,108.72,32.36,10.61,1.2103,1.0874,195.3,1119.8686
2019-02-22,115.16,120.39,11.4691,114.44,141.007484,134.09,93.77,109.13,1441.2004,11.31,125.802335,13.3454,63.181,205,14.29,133.72,14.0645,863.01,13.29,62.34,39.817,892,14.06,102.69,9,1.0551,17.2752,984.96,25.24,51.945164,11.13,128.0286,110.07,8.98,11.26,1070.358,10.609,3.05,2.3717,156.99,285027.51,3.0371,8.62,22.19,11.86,11113.61,1388.59,14.4,0.9829,1183.27,6.26,11.24,115.71,31.03,9.71,1.0456,105.11,10.36,106.2912,19.04,10.12,10.49,11.17,113.65,12.57,8.28,105.37,23.21,0.9738,14.1811,497.5,1286.28,1286.28,103.27,10.18,2.28,91.63,19.81,1.202,1149.26,111.3,12.2,10.418,114.34,1050.89,1038.33,100.69,109.07,21.81,170.44,21.59,1196.83,1815.81,10.01,119.59,6.101,117.97,10.158,105.52,1518.956,1.4699,11.19,7.88,1137.41,11.32,112.64,141.12,112.06,15.81,2553.571,1.390864,131.91,783.87,1050.23,10.65,11.2,8.91,11.33,59.82,111.79,1.265,107.9081,29.17,102.2117,10711.5,106.86,110.33,16.5736,8.95,10.05,9.68,1.1169,14.67,11.81,169.9029,14.3,1.716,11.69,1292.87,40.1,11.34,12.81,15.15,13.08,92.5,30.32,11011.17,11.35,11.9843,12.75,146.48,10.32,21.99,107.3353,119.78,170.75,9.16,104.1567,16.1,109.17,32.61,10.69,1.2147,1.1109,197.33,1121.7763
2019-03-01,115.69,120.95,11.5399,115.42,140.733548,134.93,94.06,110.07,1460.8234,11.21,125.865459,13.3463,63.0864,202.16,14.28,134.3,14.1399,862.11,13.25,61.78,39.916,880.52,14.08,104.69,8.94,1.0258,17.3576,991.09,25.29,52.008848,11.07,128.5935,110.26,8.89,11.22,1070.87,10.473,3.05,2.3728,159.41,290142.24,3.0576,8.53,22.25,11.82,11156.83,1405.14,14.28,0.9819,1185,6.27,11.1,115.85,31.1,9.59,1.0489,105.19,10.37,103.6779,19.03,10.14,10.5,11.1,113.21,12.79,8.23,105.66,23.2,0.9729,14.1991,494.38,1289.7,1289.7,105.61,10.13,2.28,91.48,19.62,1.209,1149.53,111.83,12.25,10.292,114.39,1062.77,1054.48,100.76,109.4,22.06,171.35,21.46,1200.87,1828.07,10.02,119.74,6.043,118.52,10.116,104.51,1497.72,1.4738,11.22,7.8,1115.07,11.39,112.87,141.2,112.01,15.8,2563.783,1.396286,131.87,789.95,1051.76,10.69,11.27,8.85,11.13,59.87,112.37,1.268,107.7437,29.31,102.329,10714.6,106.98,109.79,16.6465,8.96,10.03,9.64,1.1145,14.63,11.87,170.7662,14.48,1.816,11.45,1296.49,40.25,11.32,12.83,15.22,13.02,94.5,30.27,11006.9,11.21,12.0025,12.74,146.51,10.33,22.02,107.5763,119.89,170.01,8.99,104.1227,15.99,109.11,32.75,10.72,1.2167,1.1101,197.76,1123.9392
2019-03-08,115.69,120.95,11.5814,115.42,139.565966,134.93,94.06,110.07,1375.8564,11.03,125.413374,12.9089,62.7962,200.58,14.15,129.79,13.9247,862.11,13.09,60.39,39.388,902.38,13.92,104.69,8.82,1.0326,17.2675,991.09,24.58,51.942649,10.9,127.9977,110.26,8.83,11.06,1071.077,10.544,3.05,2.3761,159.41,284352.69,3.0601,8.42,21.79,11.74,11140.82,1405.14,14.26,0.9803,1186.2,6.22,11.1,115.09,30.81,9.6,1.0314,103.16,10.36,101.2793,18.62,10.08,10.5,11.03,111.95,12.85,8.23,105.66,23.14,0.9712,14.1603,486.81,1290.33,1290.33,105.61,10.09,2.26,88.91,19.53,1.204,1150.5,110.45,12.15,10.252,114.48,1062.77,1054.48,99.11,109.4,21.79,171.07,21.06,1193.07,1803.08,9.85,119.47,6.053,118.68,10.045,104.51,1474.807,1.4661,11.01,7.81,1139.37,11.31,112.65,141.17,112.28,15.57,2549.847,1.380243,132.34,789.95,1052.78,10.69,11.01,8.71,11.09,59.39,112.37,1.25,106.8879,29.28,102.1712,10681,107.04,110.14,16.4377,8.94,10.02,9.59,1.1139,14.5,11.59,167.3788,14.76,1.781,11.49,1279.23,39.68,11.31,12.71,14.91,12.97,94.5,29.81,10964.29,11.08,12.0025,12.64,145.92,10.25,21.79,107.1729,120.17,169.75,9.03,102.5677,15.88,109.03,32.21,10.65,1.2096,1.0956,196.8,1123.7147
